TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2017,5,24,10,10,24XX E HASTINGS ST,Hastings-Sunrise,495897.2912,5458709.6784
Break and Enter Commercial,2018,8,17,22,5,24XX E HASTINGS ST,Hastings-Sunrise,495897.2912,5458709.6784
Break and Enter Commercial,2022,5,5,9,56,24XX E HASTINGS ST,Hastings-Sunrise,495897.2912,5458709.6784
Break and Enter Commercial,2022,10,16,4,44,24XX E HASTINGS ST,Hastings-Sunrise,495897.2912,5458709.6784
Break and Enter Commercial,2004,9,2,8,0,24XX E HASTINGS ST,Hastings-Sunrise,495899.9126,5458709.672
Break and Enter Commercial,2006,12,17,6,15,24XX E HASTINGS ST,Hastings-Sunrise,495899.9126,5458709.672
Break and Enter Commercial,2008,3,10,22,20,24XX E HASTINGS ST,Hastings-Sunrise,495899.9126,5458709.672
Break and Enter Commercial,2014,1,11,3,0,24XX E HASTINGS ST,Hastings-Sunrise,495899.935,5458718.816
Break and Enter Commercial,2004,1,2,4,45,24XX E HASTINGS ST,Hastings-Sunrise,495902.5341,5458709.6655
Break and Enter Commercial,2009,8,14,3,58,24XX E HASTINGS ST,Hastings-Sunrise,495902.5341,5458709.6655
Break and Enter Commercial,2012,7,17,4,15,24XX E HASTINGS ST,Hastings-Sunrise,495902.5341,5458709.6655
Break and Enter Commercial,2006,12,14,2,16,24XX E HASTINGS ST,Hastings-Sunrise,495907.7994,5458718.7967
Break and Enter Commercial,2018,4,18,10,43,24XX E HASTINGS ST,Hastings-Sunrise,495919.1952,5458709.6248
Break and Enter Commercial,2009,12,22,18,0,24XX E HASTINGS ST,Hastings-Sunrise,495920.8845,5458709.6206
Break and Enter Commercial,2007,1,7,5,15,24XX E HASTINGS ST,Hastings-Sunrise,495926.1498,5458718.7518
Break and Enter Commercial,2011,5,29,5,32,24XX E HASTINGS ST,Hastings-Sunrise,495926.1498,5458718.7518
